Format=7,XI-011844,,,Right Foot,,,,,,,,,,,XI-011908,,,TRIGGER,,,,,,,,,,,XI-011987,,,Lumbar,,,,,,,,,,,XI-012007,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1668006744673437,-17.805826,0.477113,-2.852747,-0.896213,-0.314503,-0.484621,-25.521054,19.458795,-27.030831,,0.692368,-0.270742,-0.173376,-0.645962,3.206078,1.821545,10.031844,-0.486380,-0.325243,-0.039558,-28.087897,-26.897357,-26.102285,,0.418806,0.176884,0.016131,0.890535,-9.414312,0.392377,-0.362314,0.315946,0.037548,-0.149903,43.568203,-25.887800,20.125832,,0.665648,-0.235510,0.641968,0.298875,-6.370209,-1.186874,7.539073,0.070722,0.177095,0.107998,-9.271806,29.379445,-64.772473,,0.166163,0.320501,0.147956,-0.920749
1668006744681250,-17.176526,0.584113,-2.783247,-1.010093,0.112377,-0.154101,-25.730454,20.319095,-26.594131,,0.643232,-0.278838,-0.140700,-0.699074,3.374578,1.863245,10.002044,-0.478340,-0.300093,-0.078378,-28.075697,-26.715557,-26.026185,,0.419093,0.176832,0.014000,0.890446,-9.589412,0.280077,-0.525614,0.292096,0.059428,-0.149433,43.515303,-25.794800,20.146332,,0.665308,-0.235912,0.642577,0.298003,-6.424609,-1.195074,7.464273,0.044192,0.201345,0.096238,-9.156006,29.291445,-64.807073,,0.166571,0.321325,0.147644,-0.920438
1668006744689062,-16.616926,0.365113,-2.699747,-1.059033,0.536267,0.235619,-25.556554,20.651095,-26.175331,,0.590435,-0.282243,-0.105612,-0.748713,3.412778,2.025145,9.902244,-0.458020,-0.271353,-0.112778,-28.064797,-26.543357,-26.026185,,0.419493,0.176764,0.012018,0.890300,-9.804412,0.166777,-0.669214,0.279236,0.086238,-0.140123,43.490303,-25.651700,20.118332,,0.664865,-0.236409,0.643236,0.297175,-6.387309,-1.363974,7.381173,0.018582,0.222445,0.086008,-9.076006,29.316345,-64.865773,,0.166968,0.322206,0.147448,-0.920089
1668006744696875,-15.984826,0.370113,-2.452647,-1.043653,0.937077,0.631429,-24.972354,20.896395,-25.956631,,0.537716,-0.280076,-0.070274,-0.792137,3.399878,2.035545,9.575544,-0.437540,-0.258183,-0.157868,-28.083497,-26.380157,-26.007585,,0.420016,0.176736,0.010185,0.890083,-9.986412,0.141877,-0.758114,0.269626,0.110448,-0.129033,43.449603,-25.412700,20.141732,,0.664335,-0.236964,0.643954,0.296363,-6.356509,-1.565574,7.368973,0.009232,0.233745,0.083448,-9.036006,29.291445,-64.827673,,0.167343,0.323125,0.147302,-0.919722
1668006744704687,-16.194726,0.809613,-1.736047,-1.016543,1.296327,0.950479,-24.244654,21.182695,-25.823331,,0.488025,-0.272403,-0.036431,-0.828433,3.634078,2.241445,9.267144,-0.334610,-0.293793,-0.206038,-28.215797,-26.369557,-25.855285,,0.420606,0.177051,0.008714,0.889757,-10.122312,0.138877,-0.735914,0.261996,0.098708,-0.120343,43.308203,-25.305900,20.178832,,0.663803,-0.237555,0.644629,0.295612,-6.337709,-1.673174,7.382673,0.011952,0.243425,0.090998,-8.836606,29.312045,-64.837373,,0.167718,0.324081,0.147165,-0.919340
1668006744712500,-17.278726,1.393813,-0.575047,-1.039243,1.497177,1.091259,-23.579754,21.305695,-25.652331,,0.442522,-0.260222,-0.005164,-0.858156,3.530178,2.463945,9.691144,-0.163870,-0.318233,-0.272568,-28.061897,-26.282557,-25.844585,,0.421357,0.177801,0.007860,0.889260,-10.206612,0.164577,-0.571814,0.258896,0.039508,-0.110873,43.238603,-25.253000,20.178832,,0.663395,-0.238110,0.645140,0.294967,-6.244309,-1.679574,7.461073,0.022322,0.261615,0.100608,-8.724506,29.279245,-64.990173,,0.168051,0.325112,0.147003,-0.918941
1668006744720312,-17.558826,0.924513,0.685953,-1.089443,1.413987,1.005799,-22.994754,21.676795,-25.421331,,0.401609,-0.245104,0.022641,-0.882112,3.774278,2.135145,9.754144,-0.180200,-0.303063,-0.406418,-28.128697,-26.273257,-25.748285,,0.422531,0.178513,0.007118,0.888566,-10.282812,0.243677,-0.374814,0.259156,-0.025072,-0.098203,43.193203,-25.107000,20.118332,,0.663143,-0.238572,0.645481,0.294413,-6.210809,-1.565874,7.575173,0.026122,0.294915,0.108328,-8.545706,29.304145,-65.053273,,0.168368,0.326255,0.146858,-0.918501
1668006744728125,-16.319626,-0.443787,1.490453,-1.054803,1.132607,0.780389,-22.177654,21.662395,-25.212931,,0.365273,-0.228361,0.046514,-0.901257,3.971878,2.071745,9.543744,-0.201380,-0.326853,-0.488398,-28.043297,-26.197057,-25.661485,,0.424007,0.179311,0.006328,0.887708,-10.368212,0.311077,-0.282514,0.251616,-0.062232,-0.079023,43.112403,-24.984400,20.081132,,0.662979,-0.238949,0.645719,0.293955,-6.228609,-1.467974,7.658373,0.020362,0.335575,0.112218,-8.340206,29.248945,-65.022973,,0.168667,0.327526,0.146762,-0.918008
1668006744735937,-13.408126,-0.995387,1.719353,-0.881723,0.852957,0.515739,-20.892954,20.912795,-24.996931,,0.333294,-0.210660,0.066441,-0.916582,3.806078,2.488145,9.390844,-0.102320,-0.320443,-0.479398,-27.965797,-26.197057,-25.565185,,0.425407,0.180295,0.005879,0.886841,-10.476412,0.367477,-0.245814,0.233496,-0.068252,-0.046663,43.019403,-24.944400,20.081132,,0.662802,-0.239264,0.645934,0.293627,-6.167509,-1.566874,7.679173,0.022432,0.382085,0.116558,-8.136506,29.248945,-64.998073,,0.168955,0.328950,0.146690,-0.917458
1668006744743750,-10.573526,-0.698487,1.658253,-0.637503,0.768497,0.245899,-20.265154,20.645595,-24.850531,,0.305562,-0.192092,0.082731,-0.928918,3.780278,2.900745,9.078944,-0.037660,-0.264493,-0.459908,-27.954997,-26.197057,-25.469085,,0.426669,0.181232,0.005761,0.886044,-10.666512,0.481477,-0.118414,0.221406,-0.065562,-0.007543,42.989803,-24.833800,20.028232,,0.662589,-0.239481,0.646167,0.293414,-6.128109,-1.470974,7.772073,0.024322,0.439285,0.120318,-8.020706,29.244645,-65.087873,,0.169204,0.330563,0.146648,-0.916839
